Version,str
VCF0004,float
VCF0006,float
VCF0006a,float
VCF0009x,float
VCF0010x,float
VCF0011x,float
VCF0009y,float
VCF0010y,float
VCF0011y,float
VCF0009z,float
VCF0010z,float
VCF0011z,float
VCF0012,float
VCF0012a,float
VCF0012b,float
VCF0013,float
VCF0014,float
VCF0015a,float
VCF0015b,float
VCF0016,float
VCF0017,float
VCF0018a,float
VCF0018b,float
VCF0019,float
VCF0050a,float
VCF0050b,float
VCF0070a,float
VCF0070b,float
VCF0071a,float
VCF0071b,float
VCF0071c,float
VCF0071d,float
VCF0072a,float
VCF0072b,float
VCF0101,float
VCF0102,float
VCF0103,float
VCF0104,float
VCF0105a,float
VCF0105b,float
VCF0106,float
VCF0107,float
VCF0108,float
VCF0109,float
VCF0110,float
VCF0111,float
VCF0112,float
VCF0113,float
VCF0114,float
VCF0115,float
VCF0116,float
VCF0117,float
VCF0118,float
VCF0119,float
VCF0120,float
VCF0121,float
VCF0122,float
VCF0123,float
VCF0124,float
VCF0125,float
VCF0126,float
VCF0126a,float
VCF0126b,float
VCF0126c,float
VCF0127,float
VCF0127a,float
VCF0127b,float
VCF0128,float
VCF0128a,float
VCF0128b,float
VCF0129,float
VCF0130,float
VCF0130a,float
VCF0131,float
VCF0132,float
VCF0133,float
VCF0134,float
VCF0135,float
VCF0136,float
VCF0137,float
VCF0138,float
VCF0138a,float
VCF0138b,float
VCF0138c,float
VCF0138d,float
VCF0138e,float
VCF0139,float
VCF0140,float
VCF0140a,float
VCF0141,float
VCF0142,float
VCF0143,float
VCF0144,float
VCF0145,float
VCF0146,float
VCF0147,float
VCF0148,float
VCF0148a,float
VCF0149,float
VCF0150,float
VCF0151,float
VCF0152,float
VCF0153a,float
VCF0153b,float
VCF0153c,float
VCF0154a,float
VCF0154b,float
VCF0155,float
VCF0156,float
VCF0157,float
VCF0170a,float
VCF0170b,float
VCF0170c,float
VCF0170d,float
VCF0201,float
VCF0202,float
VCF0203,float
VCF0204,float
VCF0205,float
VCF0206,float
VCF0207,float
VCF0208,float
VCF0209,float
VCF0210,float
VCF0211,float
VCF0212,float
VCF0213,float
VCF0214,float
VCF0215,float
VCF0216,float
VCF0217,float
VCF0218,float
VCF0219,float
VCF0220,float
VCF0221,float
VCF0222,float
VCF0223,float
VCF0224,float
VCF0225,float
VCF0226,float
VCF0227,float
VCF0228,float
VCF0229,float
VCF0230,float
VCF0231,float
VCF0232,float
VCF0233,float
VCF0234,float
VCF0235,float
VCF0236,float
VCF0253,float
VCF0290,float
VCF0291,float
VCF0301,float
VCF0302,float
VCF0303,float
VCF0305,float
VCF0306,float
VCF0307,float
VCF0308,float
VCF0309,float
VCF0310,float
VCF0311,float
VCF0312,float
VCF0313,float
VCF0314,float
VCF0315,float
VCF0316,float
VCF0317,float
VCF0318,float
VCF0319,float
VCF0320,float
VCF0321,float
VCF0322,float
VCF0323,float
VCF0324,float
VCF0338,float
VCF0339,float
VCF0340,float
VCF0341,float
VCF0342,float
VCF0343,float
VCF0344,float
VCF0345,float
VCF0346,float
VCF0347,float
VCF0348,float
VCF0349,float
VCF0350,float
VCF0351,float
VCF0352,float
VCF0353,float
VCF0354,float
VCF0355,float
VCF0356,float
VCF0357,float
VCF0358,float
VCF0359,float
VCF0360,float
VCF0361,float
VCF0362,float
VCF0363,float
VCF0364,float
VCF0365,float
VCF0366,float
VCF0367,float
VCF0368,float
VCF0369,float
VCF0370,float
VCF0371,float
VCF0372,float
VCF0373,float
VCF0374,float
VCF0375a,float
VCF0375b,float
VCF0375c,float
VCF0375d,float
VCF0376a,float
VCF0376b,float
VCF0376c,float
VCF0376d,float
VCF0377a,float
VCF0377b,float
VCF0377c,float
VCF0377d,float
VCF0378a,float
VCF0378b,float
VCF0378c,float
VCF0378d,float
VCF0379a,float
VCF0379b,float
VCF0379c,float
VCF0379d,float
VCF0380,float
VCF0381a,float
VCF0381b,float
VCF0381c,float
VCF0381d,float
VCF0382a,float
VCF0382b,float
VCF0382c,float
VCF0382d,float
VCF0383a,float
VCF0383b,float
VCF0383c,float
VCF0383d,float
VCF0384a,float
VCF0384b,float
VCF0384c,float
VCF0384d,float
VCF0385a,float
VCF0385b,float
VCF0385c,float
VCF0385d,float
VCF0386,float
VCF0387a,float
VCF0387b,float
VCF0387c,float
VCF0387d,float
VCF0388a,float
VCF0388b,float
VCF0388c,float
VCF0388d,float
VCF0389a,float
VCF0389b,float
VCF0389c,float
VCF0389d,float
VCF0390a,float
VCF0390b,float
VCF0390c,float
VCF0390d,float
VCF0391a,float
VCF0391b,float
VCF0391c,float
VCF0391d,float
VCF0392,float
VCF0393a,float
VCF0393b,float
VCF0393c,float
VCF0393d,float
VCF0394a,float
VCF0394b,float
VCF0394c,float
VCF0394d,float
VCF0395a,float
VCF0395b,float
VCF0395c,float
VCF0395d,float
VCF0396a,float
VCF0396b,float
VCF0396c,float
VCF0396d,float
VCF0397a,float
VCF0397b,float
VCF0397c,float
VCF0397d,float
VCF0401,float
VCF0402,float
VCF0403,float
